"2017-11-30 22:02:17.172768"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Bannari Amman Sugars Limited","2,295.00","2,353.90","2,625.00","2,295.00","1,721.00","107.44","21.36","0.54","12.50","8.29%","15.98%","19.94%","5.56%","14.52%","500041","BSE"
"Bannari Amman Spinning Mills Ltd.","325.90","325.90","356.00","325.90","260.25","12.40","26.28","0.55","1.80","2.17%","7.42%","10.83%","2.05%","7.45%","532674","BSE"
"Banswara Syntex Ltd.","135.00","138.35","261.00","135.00","121.05","16.16","8.35","0.74","1.00","1.33%","5.91%","10.53%","1.58%","6.46%","503722","BSE"
"Barak Valley Cements Limited","27.55","28.05","43.00","27.00","20.50","-0.44","","","","-2.56%","4.83%","8.95%","-1.47%","-4.59%","532916","BSE"
"Bartronics India Limited","15.05","15.35","24.90","14.90","12.55","","","","","-68.36%","0.31%","11.95%","-3.51%","-26.75%","532694","BSE"
"Basant Agro Tech India Ltd","8.29","8.44","11.99","8.01","6.10","0.62","13.39","0.60","0.05","1.87%","5.57%","7.13%","1.85%","5.40%","524687","BSE"
"BASF India Ltd","1,975.35","2,025.00","2,075.00","1,940.50","1,020.00","39.05","50.58","0.05","1.00","-0.26%","2.71%","5.47%","-0.37%","-1.27%","500042","BSE"
"Bata India Ltd","736.90","746.65","833.00","730.70","404.35","","","0.47","3.50","6.35%","7.91%","11.37%","8.69%","12.49%","500043","BSE"
"Batliboi Ltd.","27.95","29.45","43.90","27.75","21.10","-3.97","","","","-5.57%","-2.65%","-2.86%","-6.33%","-27.51%","522004","BSE"
"Bayer CropScience Ltd","4,025.00","4,074.00","5,050.00","3,932.00","3,685.00","87.36","46.07","0.42","17.00","9.87%","13.49%","14.47%","11.06%","14.94%","506285","BSE"
"B & A Ltd","345.25","369.60","374.00","336.00","168.25","","","0.87","3.00","4.09%","8.15%","10.54%","4.01%","7.16%","508136","BSE"
"BDH Industries Ltd","68.15","70.00","98.50","67.50","58.50","4.88","13.96","2.93","2.00","7.64%","9.36%","11.00%","6.27%","12.10%","524828","BSE"
"Bedmutha Industries Limited","28.50","28.50","50.00","28.50","19.20","-21.33","","","","-7.45%","0.16%","4.23%","-8.09%","-67.39%","533270","BSE"
"BEML Ltd","1,666.45","1,675.00","1,947.45","1,643.15","816.70","64.82","25.71","0.48","8.00","3.00%","3.71%","5.94%","1.86%","3.93%","500048","BSE"
"Benares Hotels Ltd","1,105.00","1,105.00","1,387.90","1,100.00","1,040.00","39.78","27.78","1.36","15.00","13.75%","18.49%","27.87%","9.10%","11.48%","509438","BSE"
"Bengal Tea and Fabrics Ltd","67.75","68.50","71.10","66.00","40.00","-8.93","","0.74","0.50","-2.29%","-1.68%","3.92%","-2.64%","-4.66%","532230","BSE"
"Bengal & Assam Company Limited","2,127.85","2,233.00","2,250.00","2,101.05","935.00","","","0.47","10.00","8.75%","14.22%","16.93%","5.32%","19.87%","533095","BSE"
"Benzo Petro International Ltd","1.30","","3.33","","1.30","-3.95","","","","-7.82%","-7.82%","1.11%","-5.16%","","524737","BSE"
"Berger Paints India Ltd","257.90","260.00","285.75","250.35","189.70","4.52","57.03","0.57","1.75","9.38%","12.97%","14.23%","14.99%","27.35%","509480","BSE"
"Best & Crompton Engg Ltd","3.43","","7.70","","3.43","","","","","-63.44%","-58.49%","-12.84%","-9.10%","-65.05%","500046","BSE"
"BF Investment Ltd","392.50","407.20","430.85","388.05","129.00","35.10","11.18","","","4.26%","5.52%","7.01%","3.46%","12.63%","533303","BSE"
"Bf Utilities Limitd","484.45","498.00","546.85","481.70","313.20","","","","","-1.52%","56.83%","64.96%","-0.23%","","532430","BSE"
"Butterfly Gandhimathi Appliances Ltd","476.00","518.00","518.00","473.45","157.00","-24.64","","0.26","1.25","-13.79%","-9.56%","-6.67%","-10.26%","-26.60%","517421","BSE"
"Bharatiya Global Infomedia Ltd","6.33","6.33","22.13","5.80","4.56","0.58","10.96","","","2.19%","3.24%","7.17%","0.75%","0.96%","533499","BSE"
"BGR Energy Systems Ltd","134.90","134.90","184.95","131.10","106.50","","","","","2.65%","10.90%","11.01%","1.38%","6.03%","532930","BSE"
"Bharat Immunologicals&Biologcls Corp Ltd","22.60","22.80","38.40","21.65","19.00","0.28","81.01","","","5.43%","9.43%","9.90%","10.58%","17.53%","524663","BSE"
"Bhageria Industries Ltd","286.20","289.85","406.60","284.50","228.00","18.81","15.22","1.75","5.00","12.40%","16.73%","17.68%","16.89%","45.21%","530803","BSE"
"Bhagiradha Chemicals & Industries Ltd","281.00","281.00","324.35","281.00","131.00","-4.01","","","","1.00%","3.46%","5.34%","1.06%","4.31%","531719","BSE"
"Bhagwati Autocast Ltd","108.00","114.00","124.90","105.25","63.15","","","0.74","0.80","","","","","","504646","BSE"
"TGB Banquets and Hotels Ltd","60.05","61.90","80.90","59.60","47.50","-2.26","","","","-4.83%","3.66%","17.87%","-2.05%","-5.95%","532845","BSE"
"Bhagyanagar India Ltd","39.65","42.00","45.70","39.55","17.50","14.02","2.83","","","1.64%","1.33%","4.42%","2.02%","3.21%","512296","BSE"
"Bhandari Hosiery Exports Ltd(NDA)","3.90","4.12","6.08","3.86","1.72","0.23","17.27","","0.01","1.97%","4.64%","6.08%","3.07%","7.38%","512608","BSE"
