"2017-11-30 23:09:11.325591"
"StockName","LastTrade","LastHi","Hi52","LastLo","Lo52","EPS","PE","DivYield","LastDiv","NetProfitMargin","OperatingMargin","EBITDMargin","ReturnOnAverageAssets","ReturnOnAverageEquity","ExchangeCode","Exchange"
"Dewan Housing Finance Corporation Ltd.","616.90","621.00","677.85","613.00","227.55","23.73","25.99","0.97","3.00","29.10%","34.08%","15.22%","3.46%","42.78%","511072","BSE"
"DFM Foods Ltd","2,000.00","2,020.05","2,141.00","1,999.95","1,122.00","20.26","98.74","0.25","5.00","5.40%","7.90%","10.06%","8.20%","24.71%","519588","BSE"
"Kashipur Sugar Mills Ltd","2.10","","4.60","","1.91","-5.23","","","","-21.12%","-21.12%","-4.80%","-40.27%","","502512","BSE"
"Dhampur Sugar Mills Ltd","282.95","289.25","330.85","278.10","110.60","42.39","6.67","1.24","3.50","9.20%","17.88%","19.98%","7.20%","28.68%","500119","BSE"
"Dhampure Speciality Sugars Ltd","15.19","15.38","23.80","14.64","13.21","0.53","28.67","","","3.22%","2.40%","3.12%","2.93%","3.69%","531923","BSE"
"Dhanuka Agritech Ltd","687.25","698.00","940.00","669.15","631.15","24.22","28.37","0.09","0.60","13.68%","17.67%","19.37%","17.44%","23.88%","507717","BSE"
"Dhanlaxmi Bank Limited","33.50","33.90","44.70","32.65","22.00","0.65","51.54","","","2.80%","2.80%","13.44%","0.10%","2.13%","532180","BSE"
"Dharamsi Morarji Chemical Co Ltd","115.50","118.25","148.00","113.10","89.30","6.04","19.13","","","12.05%","19.88%","21.77%","17.43%","36.19%","506405","BSE"
"Dharani Sugars and Chemicals Ltd","31.20","31.95","43.40","31.00","20.80","-3.95","","","","-3.27%","9.29%","13.58%","-1.78%","-9.64%","507442","BSE"
"D & H India Ltd","31.50","32.95","38.75","30.50","16.00","0.37","84.49","","","0.48%","3.26%","6.27%","0.49%","0.98%","517514","BSE"
